N_iteration,Accuracy,Specifity,F1_del,F1_ben,MCC,AP,Recall,ROC_AUC,Precision,Kappa,,,
1,0.984,0.999,0.992,0.178,0.241,0.075,0.105,0.552,0.571,0.174,,Accuracy,98.474
2,0.985,0.998,0.992,0.25,0.303,0.108,0.158,0.578,0.6,0.245,,Std,0.000799242065202
3,0.985,0.999,0.992,0.217,0.282,0.096,0.132,0.565,0.625,0.213,,n,100
4,0.985,1,0.992,0.12,0.214,0.062,0.066,0.533,0.714,0.118,,Error estándar,7.992420652017E-05
5,0.983,0.997,0.991,0.165,0.194,0.055,0.105,0.551,0.381,0.159,,Valor crítico (95%),1.96
6,0.986,0.999,0.993,0.28,0.358,0.144,0.171,0.585,0.765,0.275,,Margen de error,0.016
7,0.984,0.999,0.992,0.096,0.17,0.045,0.053,0.526,0.571,0.094,,,
8,0.985,0.999,0.992,0.18,0.25,0.079,0.105,0.552,0.615,0.176,,,
9,0.987,0.999,0.993,0.367,0.436,0.206,0.237,0.618,0.818,0.363,,F1,16.927
10,0.985,0.999,0.992,0.18,0.25,0.079,0.105,0.552,0.615,0.176,,Std,0.060569828639465
11,0.986,0.999,0.993,0.244,0.334,0.127,0.145,0.572,0.786,0.241,,n,100
12,0.985,0.999,0.992,0.18,0.25,0.079,0.105,0.552,0.615,0.176,,Error estándar,0.006056982863946
13,0.984,1,0.992,0.098,0.184,0.05,0.053,0.526,0.667,0.095,,Valor crítico (95%),1.96
14,0.985,0.999,0.992,0.202,0.282,0.096,0.118,0.559,0.692,0.198,,Margen de error,1.187
15,0.985,0.999,0.992,0.22,0.292,0.102,0.132,0.565,0.667,0.216,,,
16,0.986,1,0.993,0.247,0.347,0.136,0.145,0.572,0.846,0.244,,,
17,0.984,0.999,0.992,0.178,0.241,0.075,0.105,0.552,0.571,0.174,,Precision,66.257
18,0.983,0.997,0.991,0.167,0.199,0.057,0.105,0.551,0.4,0.161,,Std,0.151928096695959
19,0.984,0.998,0.992,0.176,0.232,0.071,0.105,0.552,0.533,0.171,,n,100
20,0.984,0.999,0.992,0.119,0.199,0.056,0.066,0.533,0.625,0.116,,Error estándar,0.015192809669596
21,0.984,1,0.992,0.051,0.13,0.033,0.026,0.513,0.667,0.049,,Valor crítico (95%),1.96
22,0.985,0.999,0.992,0.22,0.292,0.102,0.132,0.565,0.667,0.216,,Margen de error,2.978
23,0.984,0.998,0.992,0.154,0.202,0.058,0.092,0.545,0.467,0.149,,,
24,0.985,0.999,0.992,0.163,0.25,0.079,0.092,0.546,0.7,0.16,,,
25,0.984,0.999,0.992,0.094,0.149,0.039,0.053,0.526,0.444,0.091,,,
26,0.985,1,0.993,0.146,0.279,0.094,0.079,0.539,1,0.144,,,
27,0.985,0.999,0.992,0.182,0.261,0.085,0.105,0.552,0.667,0.178,,,
28,0.985,0.999,0.992,0.202,0.282,0.096,0.118,0.559,0.692,0.198,,,
29,0.985,0.999,0.992,0.22,0.292,0.102,0.132,0.565,0.667,0.216,,,
30,0.984,0.998,0.992,0.174,0.224,0.067,0.105,0.552,0.5,0.169,,,
31,0.985,1,0.992,0.165,0.265,0.086,0.092,0.546,0.778,0.162,,,
32,0.984,0.999,0.992,0.096,0.17,0.045,0.053,0.526,0.571,0.094,,,
33,0.985,0.999,0.992,0.2,0.272,0.09,0.118,0.559,0.643,0.196,,,
34,0.986,1,0.993,0.253,0.378,0.159,0.145,0.572,1,0.25,,,
35,0.986,1,0.993,0.25,0.361,0.146,0.145,0.572,0.917,0.247,,,
36,0.985,1,0.992,0.145,0.258,0.082,0.079,0.539,0.857,0.142,,,
37,0.985,0.999,0.992,0.198,0.262,0.085,0.118,0.559,0.6,0.194,,,
38,0.985,1,0.993,0.167,0.281,0.095,0.092,0.546,0.875,0.164,,,
39,0.984,0.999,0.992,0.049,0.099,0.026,0.026,0.513,0.4,0.047,,,
40,0.986,0.999,0.993,0.292,0.354,0.142,0.184,0.591,0.7,0.287,,,
41,0.984,0.998,0.992,0.191,0.238,0.073,0.118,0.558,0.5,0.186,,,
42,0.985,0.999,0.992,0.2,0.272,0.09,0.118,0.559,0.643,0.196,,,
43,0.984,1,0.992,0.051,0.13,0.033,0.026,0.513,0.667,0.049,,,
44,0.984,0.999,0.992,0.138,0.203,0.058,0.079,0.539,0.545,0.134,,,
45,0.984,0.998,0.992,0.156,0.21,0.061,0.092,0.545,0.5,0.151,,,
46,0.986,1,0.993,0.23,0.343,0.134,0.132,0.566,0.909,0.227,,,
47,0.985,0.999,0.992,0.198,0.262,0.085,0.118,0.559,0.6,0.194,,,
48,0.984,0.999,0.992,0.14,0.214,0.062,0.079,0.539,0.6,0.136,,,
49,0.985,0.999,0.993,0.205,0.294,0.103,0.118,0.559,0.75,0.201,,,
50,0.984,0.998,0.992,0.191,0.238,0.073,0.118,0.558,0.5,0.186,,,
51,0.984,0.998,0.992,0.208,0.251,0.08,0.132,0.565,0.5,0.203,,,
52,0.986,0.999,0.993,0.277,0.347,0.137,0.171,0.585,0.722,0.272,,,
53,0.984,0.999,0.992,0.118,0.187,0.052,0.066,0.532,0.556,0.115,,,
54,0.984,0.999,0.992,0.138,0.203,0.058,0.079,0.539,0.545,0.134,,,
55,0.984,0.999,0.992,0.116,0.177,0.048,0.066,0.532,0.5,0.113,,,
56,0.984,1,0.992,0.051,0.161,0.042,0.026,0.513,1,0.05,,,
57,0.984,0.999,0.992,0.159,0.228,0.068,0.092,0.546,0.583,0.155,,,
58,0.985,0.999,0.992,0.141,0.226,0.067,0.079,0.539,0.667,0.138,,,
59,0.984,0.999,0.992,0.049,0.099,0.026,0.026,0.513,0.4,0.047,,,
60,0.985,1,0.992,0.165,0.265,0.086,0.092,0.546,0.778,0.162,,,
61,0.985,0.999,0.992,0.184,0.273,0.091,0.105,0.552,0.727,0.181,,,
62,0.984,0.999,0.992,0.115,0.168,0.045,0.066,0.532,0.455,0.111,,,
63,0.984,0.999,0.992,0.116,0.177,0.048,0.066,0.532,0.5,0.113,,,
64,0.984,0.999,0.992,0.072,0.126,0.032,0.039,0.519,0.429,0.07,,,
65,0.984,0.999,0.992,0.178,0.241,0.075,0.105,0.552,0.571,0.174,,,
66,0.985,0.999,0.993,0.205,0.294,0.103,0.118,0.559,0.75,0.201,,,
67,0.986,1,0.993,0.25,0.361,0.146,0.145,0.572,0.917,0.247,,,
68,0.985,1,0.992,0.099,0.203,0.057,0.053,0.526,0.8,0.097,,,
69,0.985,1,0.992,0.145,0.258,0.082,0.079,0.539,0.857,0.142,,,
70,0.985,1,0.993,0.207,0.308,0.111,0.118,0.559,0.818,0.204,,,
71,0.985,1,0.992,0.165,0.265,0.086,0.092,0.546,0.778,0.162,,,
72,0.985,1,0.993,0.188,0.303,0.108,0.105,0.553,0.889,0.185,,,
73,0.984,0.998,0.992,0.154,0.202,0.058,0.092,0.545,0.467,0.149,,,
74,0.985,0.999,0.992,0.141,0.226,0.067,0.079,0.539,0.667,0.138,,,
75,0.986,1,0.993,0.209,0.324,0.121,0.118,0.559,0.9,0.206,,,
76,0.985,0.999,0.992,0.163,0.25,0.079,0.092,0.546,0.7,0.16,,,
77,0.986,0.999,0.993,0.244,0.334,0.127,0.145,0.572,0.786,0.241,,,
78,0.985,1,0.992,0.099,0.203,0.057,0.053,0.526,0.8,0.097,,,
79,0.985,0.999,0.992,0.18,0.25,0.079,0.105,0.552,0.615,0.176,,,
80,0.985,1,0.992,0.143,0.24,0.074,0.079,0.539,0.75,0.14,,,
81,0.985,0.999,0.993,0.205,0.294,0.103,0.118,0.559,0.75,0.201,,,
82,0.985,1,0.992,0.12,0.214,0.062,0.066,0.533,0.714,0.118,,,
83,0.985,1,0.993,0.186,0.287,0.099,0.105,0.552,0.8,0.183,,,
84,0.986,0.999,0.993,0.244,0.334,0.127,0.145,0.572,0.786,0.241,,,
85,0.983,0.998,0.991,0.091,0.127,0.033,0.053,0.525,0.333,0.087,,,
86,0.984,0.999,0.992,0.138,0.203,0.058,0.079,0.539,0.545,0.134,,,
87,0.985,0.999,0.992,0.198,0.262,0.085,0.118,0.559,0.6,0.194,,,
88,0.984,0.999,0.992,0.136,0.194,0.054,0.079,0.539,0.5,0.133,,,
89,0.985,0.999,0.992,0.163,0.25,0.079,0.092,0.546,0.7,0.16,,,
90,0.987,1,0.993,0.308,0.411,0.185,0.184,0.592,0.933,0.304,,,
91,0.986,0.999,0.993,0.264,0.352,0.14,0.158,0.579,0.8,0.26,,,
92,0.985,0.999,0.992,0.163,0.25,0.079,0.092,0.546,0.7,0.16,,,
93,0.984,1,0.992,0.098,0.184,0.05,0.053,0.526,0.667,0.095,,,
94,0.984,0.999,0.992,0.157,0.218,0.064,0.092,0.545,0.538,0.153,,,
95,0.984,0.999,0.992,0.073,0.137,0.035,0.039,0.519,0.5,0.071,,,
96,0.985,1,0.992,0.143,0.24,0.074,0.079,0.539,0.75,0.14,,,
97,0.985,1,0.993,0.186,0.287,0.099,0.105,0.552,0.8,0.183,,,
98,0.985,1,0.992,0.165,0.265,0.086,0.092,0.546,0.778,0.162,,,
99,0.984,0.998,0.992,0.176,0.232,0.071,0.105,0.552,0.533,0.171,,,
100,0.984,0.999,0.992,0.049,0.099,0.026,0.026,0.513,0.4,0.047,,,
