,base_estimator__min_samples_leaf,Train_Accuracy,Test_Accuracy,Train_Specificity,Test_Specificity,Train_ROC_AUC,Test_ROC_AUC
0,1.0,0.793,0.786,0.587,0.259,0.756,0.53
1,2.0,0.798,0.787,0.564,0.203,0.728,0.544
2,3.0,0.772,0.768,0.509,0.251,0.73,0.545
3,4.0,0.747,0.732,0.556,0.307,0.737,0.492
4,5.0,0.775,0.771,0.556,0.304,0.706,0.548
5,6.0,0.735,0.72,0.558,0.297,0.708,0.55
6,7.0,0.727,0.711,0.525,0.269,0.72,0.532
7,8.0,0.729,0.718,0.513,0.286,0.693,0.514
8,9.0,0.768,0.762,0.535,0.395,0.709,0.527
9,10.0,0.739,0.742,0.525,0.308,0.699,0.564
